"Region","income_category","iso3","Country","City.Town","Year","pm10_yr_mean","pm10_temp_cover","note.on.converted.PM10","pm25_yr_mean","pm25_temp_cover","note.on.converted.PM2.5","Number.and.type.of.monitoring.stations","Reference.for.air.quality","Database.version..year.","status"
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Al Gharbia (United Arab Emirates)",2015,153,"NA","Measured",63,"NA","Converted","1 City Centre, 1 Industrial, 1 Regional Background, 1 Regional Background / Industrial, 1 Urban/ Residential","Environment Agency - Abu Dhabi",2018,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Al Gharbia - Bida Zayed (United Arab Emirates)",2013,146,"NA","Measured",62,"NA","Converted","1 station, urban/residential","Emirate of Abu Dhabi, Environmental Statistics 2013, SCAD",2016,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Al Gharbia - Gayathi (United Arab Emirates)",2013,145,"NA","Measured",61,"NA","Converted","1 station, urban","Emirate of Abu Dhabi, Environmental Statistics 2013, SCAD",2016,NA
"Eastern Mediterranean","HIC","ARE","United Arab Emirates","Al Gharbia - Liwa Oasis (United Arab Emirates)",2013,133,"NA","Measured",56,"NA","Converted","1 station, regional background","Emirate of Abu Dhabi, Environmental Statistics 2013, SCAD",2016,NA
"Americas","LMIC","ARG","Argentina","Buenos Aires (Argentina)",2016,27,">75%","Measured",12,"NA","Converted","3 N.A.","Agencia de Proteccion Ambiental",2018,NA
"Western Pacific","HIC","AUS","Australia","Adelaide (Australia)",2012,17,">75%","Measured",7,">75%","Measured","4 Residential, 2 Residential/Industry","EPA South Australia",2018,NA
"Western Pacific","HIC","AUS","Australia","Adelaide (Australia)",2013,17,">75%","Measured",7,">75%","Measured","5 Residential, 2 Residential/Industry","EPA South Australia",2018,NA
"Western Pacific","HIC","AUS","Australia","Adelaide (Australia)",2014,17,">75%","Measured",7,">75%","Measured","5 Residential, 2 Residential/Industry","EPA South Australia",2018,NA
"Western Pacific","HIC","AUS","Australia","Adelaide (Australia)",2015,16,">75%","Measured",7,">75%","Measured","5 Residential, 2 Residential/Industry","EPA South Australia",2018,NA
"Western Pacific","HIC","AUS","Australia","Adelaide (Australia)",2016,16,">75%","Measured",7,">75%","Measured","5 Residential, 2 Residential/Industry","EPA South Australia",2018,NA
"Western Pacific","HIC","AUS","Australia","Albany (Australia)",2010,16,"NA","Measured",7,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Albany (Australia)",2011,14,"NA","Measured",6,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Albany (Australia)",2012,15,"NA","Measured",7,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Albany (Australia)",2013,15,"NA","Measured",7,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Albany (Australia)",2014,16,"NA","Measured",7,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Albany (Australia)",2015,16,"NA","Measured",7,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Albany (Australia)",2016,18,">75%","Measured",8,"NA","Converted","2 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Albury (Australia)",2013,16,">75%","Measured",7,"NA","Converted","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Albury (Australia)",2014,16,">75%","Measured",7,"NA","Converted","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Albury (Australia)",2015,15,">75%","Measured",6,"NA","Converted","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Albury (Australia)",2016,15,">75%","Measured",7,"NA","Converted","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Ayr (Australia)",2015,24,">75%","Measured",10,"NA","Converted","1 N.A.","Queensland Government Data",2018,NA
"Western Pacific","HIC","AUS","Australia","Bathurst (Australia)",2013,15,">75%","Measured",7,"NA","Converted","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Bathurst (Australia)",2014,15,">75%","Measured",6,"NA","Converted","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Bathurst (Australia)",2015,13,">75%","Measured",6,"NA","Converted","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Bathurst (Australia)",2016,13,">75%","Measured",6,"NA","Converted","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Brisbane (Australia)",2015,16,">75%","Measured",6,">75%","Measured","9 N.A.","Queensland Government Data",2018,NA
"Western Pacific","HIC","AUS","Australia","Brisbane (Australia)",2016,15,">75%","Measured",7,">75%","Measured","7 N.A.","Queensland Government Data",2018,NA
"Western Pacific","HIC","AUS","Australia","Bunbury (Australia)",2010,18,"NA","Measured",9,"NA","Measured","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Bunbury (Australia)",2011,17,"NA","Measured",8,"NA","Measured","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Bunbury (Australia)",2012,18,"NA","Measured",9,"NA","Measured","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Bunbury (Australia)",2013,17,"NA","Measured",8,"NA","Measured","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Bunbury (Australia)",2014,16,"NA","Measured",8,"NA","Measured","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Bunbury (Australia)",2015,18,"NA","Measured",9,"NA","Measured","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Bunbury (Australia)",2016,16,">75%","Measured",8,">75%","Measured","2 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Busselton (Australia)",2010,20,"NA","Converted",8,"NA","Measured","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Busselton (Australia)",2011,20,"NA","Converted",8,"NA","Measured","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Busselton (Australia)",2012,20,"NA","Converted",9,"NA","Measured","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Busselton (Australia)",2013,18,"NA","Converted",8,"NA","Measured","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Busselton (Australia)",2014,17,"NA","Converted",7,"NA","Measured","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Busselton (Australia)",2015,20,"NA","Converted",9,"NA","Measured","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Busselton (Australia)",2016,19,"NA","Converted",8,">75%","Measured","2 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Canberra (Australia)",2010,11,"NA","Measured",7,"NA","Measured","NA","ACT Air Quality Reports",2018,NA
"Western Pacific","HIC","AUS","Australia","Canberra (Australia)",2011,10,"NA","Measured",6,"NA","Measured","NA","ACT Air Quality Reports",2018,NA
"Western Pacific","HIC","AUS","Australia","Canberra (Australia)",2012,10,"NA","Measured",7,"NA","Measured","NA","ACT Air Quality Reports",2018,NA
"Western Pacific","HIC","AUS","Australia","Canberra (Australia)",2013,10,"NA","Measured",7,"NA","Measured","NA","ACT Air Quality Reports",2018,NA
"Western Pacific","HIC","AUS","Australia","Canberra (Australia)",2014,10,"NA","Measured",7,"NA","Measured","NA","ACT Air Quality Reports",2018,NA
"Western Pacific","HIC","AUS","Australia","Central Coast (Australia)",2014,13,"NA","Converted",6,"NA","Measured","-","http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf",2016,NA
"Western Pacific","HIC","AUS","Australia","City Of Ipswich (Australia)",2015,15,">75%","Measured",6,"NA","Converted","1 N.A.","Queensland Government Data",2018,NA
"Western Pacific","HIC","AUS","Australia","City Of Ipswich (Australia)",2016,13,">75%","Measured",6,"NA","Converted","1 N.A.","Queensland Government Data",2018,NA
"Western Pacific","HIC","AUS","Australia","Collie (Australia)",2010,23,"NA","Measured",10,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Collie (Australia)",2011,20,"NA","Measured",9,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Collie (Australia)",2012,20,"NA","Measured",9,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Collie (Australia)",2013,20,"NA","Measured",9,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Collie (Australia)",2014,19,"NA","Measured",8,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Collie (Australia)",2015,22,"NA","Measured",10,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Collie (Australia)",2016,19,">75%","Measured",8,"NA","Converted","2 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Darwin (Australia)",2013,20,">75%","Measured",7,">75%","Measured","1 Urban","NT-EPA",2018,NA
"Western Pacific","HIC","AUS","Australia","Darwin (Australia)",2014,22,">75%","Measured",8,">75%","Measured","1 Urban","NT-EPA",2018,NA
"Western Pacific","HIC","AUS","Australia","Darwin (Australia)",2015,22,">75%","Measured",9,">75%","Measured","1 Urban","NT-EPA",2018,NA
"Western Pacific","HIC","AUS","Australia","Darwin (Australia)",2016,16,">75%","Measured",6,">75%","Measured","1 Urban","NT-EPA",2018,NA
"Western Pacific","HIC","AUS","Australia","Devonport (Australia)",2013,15,"NA","Converted",6,"NA","Measured","-","Environment Protection Authority",2016,NA
"Western Pacific","HIC","AUS","Australia","Geelong (Australia)",2014,18,"NA","Measured",8,"NA","Converted","1 station, Residential/Light Industry","EPA Victoria, Environment Protection Authority Macleod",2016,NA
"Western Pacific","HIC","AUS","Australia","Geraldton (Australia)",2010,22,"NA","Measured",9,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Geraldton (Australia)",2011,20,"NA","Measured",9,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Geraldton (Australia)",2012,21,"NA","Measured",9,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Geraldton (Australia)",2013,21,"NA","Measured",9,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Geraldton (Australia)",2014,22,"NA","Measured",10,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Geraldton (Australia)",2015,20,"NA","Measured",9,"NA","Converted","1 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Geraldton (Australia)",2016,19,">75%","Measured",8,"NA","Converted","2 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Gladstone (Australia)",2015,13,">75%","Measured",4,">75%","Measured","5 N.A.","Queensland Government Data",2018,NA
"Western Pacific","HIC","AUS","Australia","Gladstone (Australia)",2016,14,">75%","Measured",5,">75%","Measured","5 N.A.","Queensland Government Data",2018,NA
"Western Pacific","HIC","AUS","Australia","Hobart (Australia)",2013,14,"NA","Converted",6,"NA","Measured","-","Environment Protection Authority",2016,NA
"Western Pacific","HIC","AUS","Australia","Jondaryan (Australia)",2015,19,">75%","Measured",6,">75%","Measured","1 N.A.","Queensland Government Data",2018,NA
"Western Pacific","HIC","AUS","Australia","Jondaryan (Australia)",2016,17,"50% -< 75%","Measured",5,"50% -< 75%","Measured","1 N.A.","Queensland Government Data",2018,NA
"Western Pacific","HIC","AUS","Australia","La Trobe Valley (Australia)",2014,20,"NA","Measured",10,"NA","Measured","2 stations, residential, rural","http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf",2016,NA
"Western Pacific","HIC","AUS","Australia","Launceston (Australia)",2013,19,"NA","Converted",8,"NA","Measured","-","Environment Protection Authority",2016,NA
"Western Pacific","HIC","AUS","Australia","Lower Hunter (Australia)",2014,17,"NA","Converted",7,"NA","Measured","-","http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf",2016,NA
"Western Pacific","HIC","AUS","Australia","Mackay (Australia)",2015,22,">75%","Measured",10,"NA","Converted","1 N.A.","Queensland Government Data",2018,NA
"Western Pacific","HIC","AUS","Australia","Mackay (Australia)",2016,20,">75%","Measured",9,"NA","Converted","1 N.A.","Queensland Government Data",2018,NA
"Western Pacific","HIC","AUS","Australia","Melbourne (Australia)",2014,19,"NA","Measured",8,"NA","Measured","10 stations, Residential/Light Industry","http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf",2016,NA
"Western Pacific","HIC","AUS","Australia","Moranbah (Australia)",2015,21,">75%","Measured",9,"NA","Converted","1 N.A.","Queensland Government Data",2018,NA
"Western Pacific","HIC","AUS","Australia","Moranbah (Australia)",2016,22,">75%","Measured",10,"NA","Converted","1 N.A.","Queensland Government Data",2018,NA
"Western Pacific","HIC","AUS","Australia","Mount Isa (Australia)",2015,19,">75%","Measured",8,"NA","Converted","1 N.A.","Queensland Government Data",2018,NA
"Western Pacific","HIC","AUS","Australia","Mount Isa (Australia)",2016,17,">75%","Measured",7,"NA","Converted","1 N.A.","Queensland Government Data",2018,NA
"Western Pacific","HIC","AUS","Australia","Muswellbrook (Australia)",2013,23,">75%","Measured",9,">75%","Measured","1 Population Centre","Office of Environment and Heritage NSW Government",2018,NA
